patent_id,in_degree,rank_in,patent_title_in
5933136,794,525,Network media access control system for encouraging patient compliance with a treatment plan
6324581,793,526,"File server system using file system storage, data movers, and an exchange of meta data among data movers for file locking and direct access to shared file systems"
4961740,793,527,V-thread fusion cage and method of fusing a bone joint
4458066,793,528,Process for preparing polynucleotides
5675507,793,529,Message storage and delivery system
5199428,792,530,Implantable electrical nerve stimulator/pacemaker with ischemia for decreasing cardiac workload
5568806,792,531,Transcutaneous sensor insertion set
6393605,792,532,Apparatus and system for efficient delivery and deployment of an application
5810855,792,533,Endoscopic device and method for reinforcing surgical staples
5321501,792,534,Method and apparatus for optical imaging with means for controlling the longitudinal range of the sample
4235238,791,535,Apparatus for suturing coeliac tissues
5831610,791,536,Designing networks
5774170,790,537,System and method for delivering targeted advertisements to consumers
6299604,790,538,Coated implantable medical device
4652998,789,539,Video gaming system with pool prize structures
5997401,789,540,Slot machine with symbol save feature
5640002,789,541,Portable RF ID tag and barcode reader
5549679,789,542,Expandable fabric implant for stabilizing the spinal motion segment
5522899,788,543,Artificial spinal fusion implants
5537314,788,544,Referral recognition system for an incentive award program
5782397,787,545,Stapling device
3971065,787,546,Color imaging array
4741330,786,547,Method and apparatus for anchoring and manipulating cartilage
5104404,785,548,Articulated stent
6905057,785,549,Surgical stapling instrument incorporating a firing mechanism having a linked rack transmission
5867495,785,550,"System, method and article of manufacture for communications utilizing calling, plans in a hybrid network"
4743256,785,551,Surgical prosthetic implant facilitating vertebral interbody fusion and method
5609635,785,552,Lordotic interbody spinal fusion implants
6021397,785,553,Financial advisory system
5667517,785,554,Endoscopic surgical system with sensing means
5299571,784,555,Apparatus and method for implantation of sensors
4951601,784,556,Multi-chamber integrated process system
5870721,784,557,System and method for real time loan approval
6324693,784,558,Method of synchronizing independently distributed software and database schema
5823873,783,559,Method of playing electronic video poker games
5155591,783,560,Method and apparatus for providing demographically targeted television commercials
4969880,782,561,Wound dressing and treatment method
6056642,782,562,Slot machine with color changing symbols
4873978,782,563,Device and method for emboli retrieval
4871351,781,564,Implantable medication infusion system
6122536,781,565,Implantable sensor and system for measurement and control of blood constituent levels
5997476,781,566,Networked system for interactive communication and remote monitoring of individuals
5108420,781,567,Aperture occlusion device
6275717,781,568,Device and method of calibrating and testing a sensor for in vivo measurement of an analyte
5322063,781,569,Hydrophilic polyurethane membranes for electrochemical glucose sensors
5710884,781,570,System for automatically updating personal profile server with updates to additional user information gathered from monitoring user's electronic consuming habits generated on computer during use
5848373,781,571,Computer aided map location system
5528222,780,572,Radio frequency circuit and memory in thin flexible package
6310610,780,573,Intelligent touch display
6654625,780,574,Mass transport limited in vivo analyte sensor
4908112,780,575,Silicon semiconductor wafer for analyzing micronic biological samples
6553563,780,576,"Development tool, method, and system for client server applications"
6102798,779,577,Slot machine game-find the prize
3338992,779,578,- No title available -
3702886,779,579,- No title available -
5703436,778,580,Transparent contacts for organic devices
5845266,778,581,Crossing network utilizing satisfaction density profile with price discovery features
4863476,778,582,Spinal implant
8053184,777,583,Soybean event MON89788 and methods for detection thereof
6134532,777,584,System and method for optimal adaptive matching of users to most relevant entity and information in real-time
6443973,777,585,"Electromechanical driver device for use with anastomosing, stapling, and resecting instruments"
5742792,777,586,Remote data mirroring
5682886,776,587,Computer-assisted surgical system
6574635,776,588,"Application instantiation based upon attributes and values stored in a meta data repository, including tiering of application layers objects and components"
4789928,776,589,Auction information transmission processing
6264086,775,590,Surgical apparatus and method
5779130,775,591,Self-contained powered surgical apparatus
4916441,775,592,Portable handheld terminal
6343324,774,593,Method and system for controlling access share storage devices in a network environment by configuring host-to-volume mapping data structures in the controller memory for granting and denying access to the devices
4485816,774,594,Shape-memory surgical staple apparatus and method for use in surgical suturing
5915167,773,595,Three dimensional structure memory
6786382,773,596,Surgical stapling instrument incorporating an articulation joint for a firing bar track
4728020,773,597,Articulated surgical fastener applying apparatus
5577654,772,598,Surgical instrument
5315541,772,599,Segmented column memory array
6424847,772,600,Glucose monitor calibration methods
4976711,772,601,Ablation catheter with selectively deployable electrodes
4619246,771,602,Collapsible filter basket
5673840,771,603,Surgical instrument
6502131,770,604,Directory enabled policy management tool for intelligent traffic management
5253066,770,605,TV recording and viewing control system
5391199,769,606,Apparatus and method for treating cardiac arrhythmias
6352503,768,607,Endoscopic surgery apparatus
4830003,768,608,Compressive stent and delivery system
6374336,768,609,Computer system and process for transferring multiple high bandwidth streams of data between multiple storage units and multiple applications in a scalable and reliable manner
6264087,767,610,Expanding parallel jaw device for use with an electromechanical driver device
5636643,767,611,Wound treatment employing reduced pressure
6301609,767,612,Assignable associate priorities for user-definable instant messaging buddy groups
5564700,767,613,Proportional payout method for progressive linked gaming machines
6601233,766,614,Business components framework
6091975,766,615,Minimally invasive detecting device
5529235,766,616,Identification device for surgical instrument
5071437,766,617,Artificial disc
6153252,766,618,Process for coating stents
5095344,765,619,Highly compact EPROM and flash EEPROM devices
6312334,765,620,Method of playing a multi-stage video wagering game
5101501,765,621,Method and system for providing a soft handoff in communications in a CDMA cellular telephone system
5021059,764,622,Plug device with pulley for sealing punctures in tissue and methods of use
5514154,764,623,Expandable stents
6001016,764,624,Remote gaming device
6609150,764,625,Web client-server system and method for incompatible page markup and presentation languages
6740075,763,626,Ambulatory medical apparatus with hand held communication device
5027400,763,627,Multimedia bidirectional broadcast system
5954259,763,628,Self-contained powered surgical apparatus for applying surgical fasteners
6231442,763,629,Video slot machine with multi-choice second bonus
5594469,762,630,Hand gesture machine control system
6144848,762,631,Handheld remote computer control and methods for secured interactive real-time telecommunications
4787899,762,632,"Intraluminal graft device, system and method"
5443463,762,633,Coagulating forceps
5101814,761,634,System for monitoring and controlling blood glucose
5950173,761,635,System and method for delivering consumer product related information to consumers within retail environments using internet-based information servers and sales agents
6804330,761,636,Method and system for accessing CRM data via voice
5132992,761,637,Audio and video transmission and receiving system
5560532,761,638,Apparatus and method for applying surgical staples to body tissue
6185683,760,639,"Trusted and secure techniques, systems and methods for item delivery and execution"
5347306,760,640,Animated electronic meeting place
5815665,760,641,System and method for providing trusted brokering services over a distributed network
5798785,760,642,Terminal for suggesting programs offered on a television program delivery system
5262305,760,643,Interferant eliminating biosensors
5425745,760,644,Apparatus and method for placing staples in laparoscopic or endoscopic procedures
5129570,759,645,Surgical stapler
6585644,759,646,Ambulatory medical apparatus and method using a telemetry system with predefined reception listening periods
5915001,759,647,System and method for providing and using universally accessible voice and speech data files
5505730,758,648,Thin layer ablation apparatus
6554798,758,649,"External infusion device with remote programming, bolus estimator and/or vibration alarm capabilities"
4650466,757,650,Angioplasty device
5446919,756,651,Communication system and method with demographically or psychographically defined audiences
3773919,755,652,- No title available -
5732216,755,653,Audio message exchange system
6189011,755,654,Method of maintaining a network of partially replicated database system
5205459,755,655,Surgical anastomosis stapling instrument
6514718,755,656,Subcutaneous glucose electrode
4637403,755,657,Glucose medical monitoring system
5924082,754,658,Negotiated matching system
5484451,754,659,Endoscopic surgical instrument and staples for applying purse string sutures
6174235,754,660,Method and apparatus for directing a game with user-selected elements
5478354,754,661,Wound closing apparatus and method
5411508,754,662,Gastrointestinal approximating and tissue attaching device
5453601,753,663,Electronic-monetary system
5761419,753,664,Remote collaboration system including first program means translating user inputs into annotations and running on all computers while second program means runs on one computer
4539507,753,665,Organic electroluminescent devices having improved power conversion efficiencies
5792135,753,666,Articulated surgical instrument for performing minimally invasive surgery with enhanced dexterity and sensitivity
4669473,753,667,Surgical fastener
6895263,752,668,Real time self-adjusting calibration algorithm
6319125,752,669,Method apparatus for promoting play on a network of gaming devices
5616876,752,670,System and methods for selecting music on the basis of subjective content
6293925,751,671,Insertion device for an insertion set and method of using the same
5611730,751,672,Progressive gaming system tailored for use in multiple remote sites: apparatus and method
6421711,751,673,Virtual ports for data transferring of a data storage system
5329578,751,674,Personal communication service with mobility manager
6006225,751,675,Refining search queries by the suggestion of correlated terms from prior searches
4321672,750,676,Financial data processing system
5613004,750,677,Steganographic method and device
6732100,750,678,Database access method and system for user role defined access
6648821,750,679,Microprocessor controlled ambulatory medical apparatus with hand held communication device
4509852,750,680,Apparatus for the photolithographic manufacture of integrated circuit elements
5883810,750,681,Electronic online commerce card with transactionproxy number for online transactions
6732095,749,682,Method and apparatus for mapping between XML and relational representations
6303238,749,683,OLEDs doped with phosphorescent compounds
6763501,749,684,Remote document serving
5458596,749,685,Method and apparatus for controlled contraction of soft tissue
6203429,749,686,Gaming machine with bonus mode
5833690,749,687,Electrosurgical device and method
5790677,749,688,System and method for secure electronic commerce transactions
3502763,748,689,- No title available -
6024699,748,690,"Systems, methods and computer program products for monitoring, diagnosing and treating medical conditions of remotely located patients"
5572528,748,691,Mobile networking method and apparatus
5692668,748,692,Surgical instrument
6570557,748,693,Multi-touch system and method for emulating modifier keys via fingertip chords
6605038,747,694,"System for monitoring health, wellness and fitness"
6325810,747,695,Foam buttress for stapling apparatus
6004335,747,696,Ultrasonic hemostatic and cutting instrument
4309777,747,697,Artificial intervertebral disc
4803625,747,698,Personal health monitor
5495576,746,699,Panoramic image based virtual reality/telepresence audio-visual system and method
6302790,746,700,Audio visual output for a gaming device
4751578,746,701,System for electronically controllably viewing on a television updateable television programming information
5605662,746,702,Active programmable electronic devices for molecular biological analysis and diagnostics
5471515,745,703,Active pixel sensor with intra-pixel charge transfer
5155847,745,704,Method and apparatus for updating software at remote locations
5179517,745,705,Game machine data transfer system utilizing portable data units
5920847,745,706,Electronic bill pay system
5571189,745,707,Expandable fabric implant for stabilizing the spinal motion segment
4545382,745,708,Sensor for components of a liquid mixture
4837798,744,709,Communication system having unified messaging
5307976,744,710,Linear stapling mechanism with cutting means
5725536,744,711,Articulated surgical instrument with improved articulation control mechanism
6295530,744,712,Internet service of differently formatted viewable data signals including commands for browser execution
5938721,743,713,Position based personal digital assistant
5047055,743,714,Hydrogel intervertebral disc nucleus
5449373,743,715,Articulated stent
6718361,742,716,Method and apparatus for reliable and scalable distribution of data files in distributed networks
3996345,742,717,Fluorescence quenching with immunological pairs in immunoassays
5850442,742,718,Secure world wide electronic commerce over an open network
5836817,742,719,Method and apparatus for operating networked gaming devices
5707400,742,720,Treating refractory hypertension by nerve stimulation
5710889,742,721,Interface device for electronically integrating global financial services
5673322,742,722,System and method for providing protocol translation and filtering to access the world wide web from wireless or low-bandwidth networks
5782396,741,723,Surgical stapler
6092083,741,724,Database management system which synchronizes an enterprise server and a workgroup user client using a docking agent
5707745,741,725,Multicolor organic light emitting devices
5209747,740,726,Adjustable angle medical forceps
5217457,740,727,Enhanced electrosurgical apparatus
5762255,740,728,Surgical instrument with improvement safety lockout mechanisms
6241747,740,729,Barbed Bodily tissue connector
6434550,740,730,Temporal updates of relevancy rating of retrieved information in an information search system
6216135,740,731,Method of determining visibility to a remote database client of a plurality of database transactions having variable visibility strengths
7147138,739,732,Surgical stapling instrument having an electroactive polymer actuated buttress deployment mechanism
5655698,739,733,Surgical stapler with curved jaws
5120420,739,734,Biosensor and a process for preparation thereof
4528643,738,735,System for reproducing information in material objects at a point of sale location
5665122,738,736,Expandable intervertebral cage and surgical method
5637469,738,737,Methods and apparatus for the detection of an analyte utilizing mesoscale flow systems
5061049,738,738,Spatial light modulator and method
5689652,738,739,Crossing network utilizing optimal mutual satisfaction density profile
5582611,737,740,Surgical device for stapling and/or fastening body tissues
5437651,737,741,Medical suction apparatus
5623601,737,742,Apparatus and method for providing a secure gateway for communication and data exchanges between networks
4671445,737,743,Flexible surgical stapler assembly
5038211,736,744,Method and apparatus for transmitting and receiving television program information
5711861,736,745,Device for monitoring changes in analyte concentration
5421955,736,746,Expandable stents and method for making same
4837728,736,747,Multiple progressive gaming system that freezes payouts at start of game
5645081,735,748,Method of treating tissue damage and apparatus for same
6416471,735,749,Portable remote patient telemonitoring system
6324568,735,750,Method and system for distributing objects over a network
5452733,735,751,Methods for performing thoracoscopic coronary artery bypass
4931047,735,752,Method and apparatus for providing enhanced tissue fragmentation and/or hemostasis
4505414,735,753,Expandable anvil surgical stapler
5840081,735,754,System and method for implanting cardiac valves
5944738,735,755,Percutaneous catheter directed constricting occlusion device
5772661,734,756,Methods and instrumentation for the surgical correction of human thoracic and lumbar spinal disease from the antero-lateral aspect of the spine
6931327,734,757,System and methods for processing analyte sensor data
5865846,734,758,Human spinal disc prosthesis
6045560,734,759,Surgical stapling apparatus with biocompatible surgical fabric
6311214,733,760,Linking of computers based on optical sensing of digital data
5640193,733,761,Multimedia service access by reading marks on an object
6049727,733,762,Implantable sensor and system for in vivo measurement and control of fluid constituent levels
7000818,733,763,Surgical stapling instrument having separate distinct closing and firing systems
5401269,733,764,Intervertebral disc endoprosthesis
4809695,733,765,Suturing assembly and method
4431004,732,766,Implantable glucose sensor
5512131,732,767,Formation of microstamped patterns on surfaces and derivative articles
5262035,732,768,Enzyme electrodes
7404508,732,769,Surgical stapling and cutting device
6073142,732,770,Automated post office based rule analysis of e-mail messages and other data objects for controlled distribution in network environments
5397324,732,771,Surgical stapler instrument and method for vascular hemostasis
5774670,732,772,Persistent client state in a hypertext transfer protocol based client-server system
5282824,732,773,Percutaneous stent assembly
5925021,731,774,Medication delivery device with a microprocessor and characteristic monitor
5836948,731,775,Spine distraction implant and method
5694546,731,776,System for automatic unattended electronic information transport between a server and a client by a vendor provided transport software with a manifest list
6763226,731,777,"MULTIFUNCTIONAL WORLD WIDE WALKIE TALKIE, A TRI-FREQUENCY CELLULAR-SATELLITE WIRELESS INSTANT MESSENGER COMPUTER AND NETWORK FOR ESTABLISHING GLOBAL WIRELESS VOLP QUALITY OF SERVICE (QOS) COMMUNICATIONS, UNIFIED MESSAGING, AND VIDEO CONFERENCING VIA THE INTERNET"
5901327,730,778,Bundling of write data from channel commands in a command chain for transmission over a data link between data storage systems for remote data mirroring
6047327,730,779,System for distributing electronic information to a targeted group of users
6161130,730,780,"""Technique which utilizes a probabilistic classifier to detect """"junk"""" e-mail by automatically updating a training and re-training the classifier based on the updated training set"""
6330965,730,781,Surgical stapling apparatus
5904708,730,782,System and method for deriving relative physiologic signals
6830174,730,783,Medical instrument
5799857,730,784,Circular anastomosis device
6169534,729,785,Graphical user interface for customer information management
6522580,729,786,Operating techniques for reducing effects of coupling between storage elements of a non-volatile memory operated in multiple data states
6665655,729,787,Implicit rating of retrieved information in an information search system
5867799,729,788,Information system and method for filtering a massive flow of information entities to meet user information classification needs
5647869,729,789,Electrosurgical apparatus
5978773,728,790,System and method for using an ordinary article of commerce to access a remote computer
5410598,728,791,Database usage metering and protection system and method
5223924,728,792,System and method for automatically correlating user preferences with a T.V. program information database
4694490,728,793,Signal processing apparatus and methods
6732111,728,794,"Method, apparatus, system, and program product for attaching files and other objects to a partially replicated database"
4768507,727,795,Intravascular stent and percutaneous insertion catheter system for the dilation of an arterial stenosis and the prevention of arterial restenosis
5826776,727,796,Surgical instrument
6024741,727,797,Surgical tissue treating device with locking mechanism
6174309,726,798,Seal & cut electrosurgical instrument
6002952,725,799,Signal processing apparatus and method
5860974,725,800,Heart ablation catheter with expandable electrode and method of coupling energy to an electrode on a catheter shaft
6829655,725,801,Method and system for server synchronization with a computing device via a companion device
5819038,725,802,Collaboration system for producing copies of image generated by first program on first computer on other computers and annotating the image by second program
6446089,725,803,Method of using a cache to determine the visibility to a remote database client of a plurality of database transactions
6558321,725,804,Systems and methods for remote monitoring and modulation of medical devices
5005122,724,805,Arrangement with cooperating management server node and network service node
6665648,724,806,State models for monitoring process
6728702,724,807,System and method to implement an integrated search center supporting a full-text search and query on a database
5417699,723,808,Device and method for the percutaneous suturing of a vascular puncture site
6250532,723,809,Surgical stapling apparatus
6266669,723,810,Partially replicated distributed database with multiple levels of remote clients
4752024,722,811,Surgical fastener and surgical stapling apparatus
5774664,722,812,Enhanced video programming system and method for incorporating and displaying retrieved integrated internet information segments
6826745,722,813,System and method for smart scripting call centers and configuration thereof
5700286,722,814,Polymer film for wrapping a stent structure
3542615,722,815,- No title available -
5172413,722,816,Secure hierarchial video delivery system and method
5335276,722,817,Communication system and methods for enhanced information transfer
6728960,722,818,Techniques for managing multiple threads in a browser environment
5665065,722,819,Medication infusion device with blood glucose data input
5536267,721,820,Multiple electrode ablation apparatus
5585838,721,821,Program time guide
5305195,721,822,Interactive advertising system for on-line terminals
5061275,721,823,Self-expanding prosthesis
6656193,720,824,Device for attachment of buttress material to a surgical fastening device
6260024,720,825,Method and apparatus for facilitating buyer-driven purchase orders on a commercial network system
4870302,720,826,Configurable electrical circuit having configurable logic elements and configurable interconnects
5855583,720,827,Method and apparatus for performing minimally invasive cardiac procedures
5037433,720,828,Endoscopic suturing device and related method and suture
5915019,719,829,Systems and methods for secure transaction management and electronic rights protection
5762256,719,830,Surgical stapler
5688270,719,831,Electrosurgical hemostatic device with recessed and/or offset electrodes
5034506,719,832,Uncharged morpholino-based polymers having achiral intersubunit linkages
5764972,719,833,Archiving file system for data servers in a distributed network environment
6421675,719,834,Search engine
6109500,719,835,Lockout mechanism for a surgical stapler
5490505,719,836,Signal processing apparatus
5911418,718,837,Methods of playing card games with an additional payout indicator
5897493,718,838,Monitoring system for remotely querying individuals
6309300,718,839,Gaming bonus apparatus and method with player interaction
6782383,718,840,System and method to implement a persistent and dismissible search center frame
5109390,717,841,Diversity receiver in a CDMA cellular telephone system
5977964,717,842,Method and apparatus for automatically configuring a system based on a user's monitored system interaction and preferred system access times
6347996,717,843,Gaming machine with concealed image bonus feature
5970143,717,844,"Remote-auditing of computer generated outcomes, authenticated billing and access control, and software metering system using cryptographic and other protocols"
5128752,716,845,System and method for generating and redeeming tokens
5438302,716,846,Electrosurgical radiofrequency generator having regulated voltage across switching device
6178425,716,847,Method of determining the visibility to a remote database client of a plurality of database transactions using simplified visibility rules
5761647,716,848,National customer recognition system and method
5275400,715,849,Pari-mutuel electronic gaming
5868760,715,850,Method and apparatus for endolumenally resectioning tissue
7340411,715,851,"System and method for generating, capturing, and managing customer lead information over a computer network"
5007908,715,852,Electrosurgical instrument having needle cutting electrode and spot-coag electrode
6253193,715,853,Systems and methods for the secure transaction management and electronic rights protection
5918159,715,854,Location reporting satellite paging system with optional blocking of location reporting
5498392,714,855,Mesoscale polynucleotide amplification device and method
6698643,714,856,Expanding parallel jaw device for use with an electromechanical driver device
6850949,713,857,System and method for generating a dynamic interface via a communications network
6964374,713,858,Retrieval and manipulation of electronically stored information via pointers embedded in the associated printed material
4517763,713,859,Hybridization process utilizing a combination of cytoplasmic male sterility and herbicide tolerance
5524637,713,860,Interactive system for measuring physiological exertion
5116055,713,861,Progressive jackpot gaming system linking gaming machines with different hit frequencies and denominations
5347653,713,862,System for reconstructing prior versions of indexes using records indicating changes between successive versions of the indexes
6843403,712,863,"Surgical clamping, cutting and stapling device"
5848397,712,864,Method and apparatus for scheduling the presentation of messages to computer users
6425916,712,865,Methods and devices for implanting cardiac valves
5509410,712,866,Strip electrode including screen printing of a single layer
6055513,712,867,Methods and apparatus for intelligent selection of goods and services in telephonic and electronic commerce
4382441,712,868,"Device for treating tissues, for example skin"
6074386,711,869,Electrosurgical instrument and an electrosurgical electrode assembly
4719917,711,870,Surgical staple
6842748,711,871,Usage based strength between related information in an information retrieval system
4535773,711,872,Safety puncturing instrument and method
5496317,711,873,Laparoscopic surgical instrument
6964363,711,874,Surgical stapling instrument having articulation joint support plates for supporting a firing bar
5636292,711,875,Steganography methods employing embedded calibration data
4627445,711,876,Glucose medical monitoring system
6577726,710,877,Computer telephony integration hotelling method and system
5151789,710,878,"System and method for automatic, unattended recording of cable television programs"
5901895,710,879,Articulating apparatus for applying surgical fasteners to body tissue
5542669,710,880,Method and apparatus for randomly increasing the payback in a video gaming apparatus
5319705,710,881,Method and system for multimedia access control enablement
6405220,710,882,Partially replicated distributed database with multiple levels of remote clients
6810290,710,883,Ambulatory medical apparatus with hand held communication device
6097147,709,884,Structure for high efficiency electroluminescent device
7074307,709,885,Electrode systems for electrochemical sensors
6881551,708,886,Subcutaneous glucose electrode
6724399,708,887,Methods and apparatus for enabling keyboard accelerators in applications implemented via a browser
6028537,708,888,Vehicle communication and remote control system
5344144,708,889,Progressive jackpot gaming system with enhanced accumulator
5242457,708,890,Surgical instrument and staples for applying purse string sutures
5594509,708,891,Method and apparatus for audio-visual interface for the display of multiple levels of information on a display
5913040,708,892,Method and apparatus for transmitting and displaying information between a remote network and a local computer
6754681,707,893,Partially replicated distributed database with multiple levels of remote clients
5999525,707,894,Method for video telephony over a hybrid network
5732872,706,895,Surgical stapling instrument
5200051,706,896,Wholly microfabricated biosensors and process for the manufacture and use thereof
5474796,706,897,Method and apparatus for conducting an array of chemical reactions on a support surface
5531878,706,898,Sensor devices
7046230,705,899,Touch pad handheld device
5605696,705,900,Drug loaded polymeric material and method of manufacture
5632272,705,901,Signal processing apparatus
5569825,705,902,Transgenic non-human animals capable of producing heterologous antibodies of various isotypes
3598123,705,903,- No title available -
6684438,704,904,Method of using cache to determine the visibility to a remote database client of a plurality of database transactions
4947028,704,905,Automated order and payment system
5580859,704,906,Delivery of exogenous DNA sequences in a mammal
5918603,704,907,Method for treating medical conditions using a microprocessor-based video game
5690269,704,908,Endoscopic stapler
5676701,704,909,Low wear artificial spinal disc
6014638,704,910,System for customizing computer displays in accordance with user preferences
5875437,704,911,"System for the operation and management of one or more financial accounts through the use of a digital communication and computation system for exchange, investment and borrowing"
4413725,703,912,Potted plant package
6621834,703,913,System and method for voice transmission over network protocols
5383876,703,914,Fluid cooled electrosurgical probe for cutting and cauterizing tissue
4748982,702,915,Reinforced balloon dilatation catheter with slitted exchange sleeve and method
4731499,702,916,Hybrid corn plant and seed
5666293,702,917,Downloading operating system software through a broadcast channel
5320725,702,918,Electrode and method for the detection of hydrogen peroxide
5193539,702,919,Implantable microstimulator
5725554,701,920,Surgical staple and stapler
4658084,701,921,Hybridization using cytoplasmic male sterility and herbicide tolerance from nuclear genes
6561978,701,922,Devices and methods for frequent measurement of an analyte present in a biological system
6168614,701,923,Valve prosthesis for implantation in the body
5485947,701,924,Linear stapling mechanism with cutting means
5318221,701,925,Apparatus and method for placing staples in laparoscopic or endoscopic procedures
6826582,700,926,Method and system for using file systems for content management
5797960,700,927,Method and apparatus for thoracoscopic intracardiac procedures
6088722,700,928,System and method for scheduling broadcast of and access to video programs and other data using customer profiles
6009274,700,929,Method and apparatus for automatically updating software components on end systems over a network
5772905,700,930,Nanoimprint lithography
6783524,700,931,Robotic surgical tool with ultrasound cauterizing and cutting instrument
6604128,700,932,Method and system for distributing objects over a network
6040937,700,933,Interferometric modulation
5482036,700,934,Signal processing apparatus and method
6266649,699,935,Collaborative recommendations using item-to-item similarity mappings
6549908,699,936,Methods and apparatus for interpreting user selections in the context of a relation distributed as a set of orthogonalized sub-relations
6604117,699,937,Method of maintaining a network of partially replicated database system
3581072,699,938,- No title available -
5876284,699,939,Method and apparatus for implementing a jackpot bonus on a network of gaming devices
6694191,699,940,Ambulatory medical apparatus and method having telemetry modifiable control software
5697909,699,941,Methods and apparatus for surgical cutting
5953710,698,942,Children's credit or debit card system
6001130,698,943,Human spinal disc prosthesis with hinges
4950227,698,944,Stent delivery system
5410344,698,945,Apparatus and method of selecting video programs based on viewers' preferences
6295541,697,946,System and methods for synchronizing two or more datasets
6162121,697,947,Value wheel game method and apparatus
7134999,697,948,Optimized sensor geometry for an implantable glucose sensor
5437999,697,949,Electrochemical sensor
5190541,696,950,Surgical instrument and method
6614914,696,951,Watermark embedder and reader
4890612,696,952,Device for sealing percutaneous puncture in a vessel
5050213,696,953,Database usage metering and protection system and method
5725552,696,954,Percutaneous catheter directed intravascular occlusion devices
4732152,696,955,Device for implantation and a method of implantation in a vessel using such device
5489058,695,956,Surgical stapler with mechanisms for reducing the firing force
5852630,695,957,Method and apparatus for a RADSL transceiver warm start activation procedure with precoding
4922905,695,958,Dilatation catheter
6768904,695,959,Data communication method using mobile terminal
6273913,695,960,Modified stent useful for delivery of drugs along stent strut
5527293,695,961,Fastening system and method
6099551,695,962,Pericardial strip and stapler assembly for dividing and sealing visceral tissues and method of use thereof
5790974,695,963,Portable calendaring device having perceptual agent managing calendar entries
6997931,694,964,System for endoscopic suturing
5681282,694,965,Methods and apparatus for ablation of luminal tissues
5793365,694,966,System and method providing a computer user interface enabling access to distributed workgroup members
5974238,694,967,Automatic data synchronization between a handheld and a host computer using pseudo cache including tags and logical data elements
5717989,694,968,Full service trade system
6119028,694,969,Implantable enzyme-based monitoring systems having improved longevity due to improved exterior surfaces
5917912,694,970,System and methods for secure transaction management and electronic rights protection
5741183,694,971,Method and apparatus for operating networked gaming devices
5644727,693,972,"System for the operation and management of one or more financial accounts through the use of a digital communication and computation system for exchange, investment and borrowing"
5820009,693,973,Articulated surgical instrument with improved jaw closure mechanism
6690268,693,974,Video mirror systems incorporating an accessory module
5542594,693,975,Surgical stapling apparatus with biocompatible surgical fabric
5792165,693,976,Endoscopic instrument with detachable end effector
6826565,693,977,Method and apparatus for serving files to browsing clients
5145684,693,978,Surface modified drug nanoparticles
5559549,693,979,Television program delivery system
6217448,692,980,Controller-based linked gaming machine bonus system
d496997,692,981,Vessel sealer and divider
6438579,691,982,Automated content and collaboration-based system and methods for determining and providing content recommendations
7246734,691,983,Rotary hydraulic pump actuated multi-stroke surgical instrument
5123926,691,984,Artificial spinal prosthesis
5662671,691,985,Atherectomy device having trapping and excising means for removal of plaque from the aorta and other arteries
6452915,691,986,IP-flow classification in a wireless point to multi-point (PTMP) transmission system
5265874,691,987,Cashless gaming apparatus and method
6436107,690,988,Method and apparatus for performing minimally invasive surgical procedures
5083271,690,989,Tournament data system with game score communication between remote player terminal and central computer
4816397,690,990,Multichain polypeptides or proteins and processes for their production
5304121,690,991,Drug delivery system making use of a hydrogel polymer coating
5680982,689,992,Surgical instrument
5653374,689,993,Self-contained powered surgical apparatus
5304468,689,994,Reagent test strip and apparatus for determination of blood glucose
6120536,689,995,Medical devices with long term non-thrombogenic coatings
5163952,689,996,Expandable polymeric stent with memory and delivery apparatus and method
4890620,689,997,Two-dimensional diffusion glucose substrate sensing electrode
3271922,689,998,- No title available -
6104815,689,999,"Method and apparatus using geographical position and universal time determination means to provide authenticated, secure, on-line communication between remote gaming locations"
5715039,689,1000,Projection exposure apparatus and method which uses multiple diffraction gratings in order to produce a solid state device with fine patterns
